Artist,Album,Year
Frank Ocean,Channel Orange,2012
Frank Ocean,Blonde,2016
Earl Sweatshirt, Doris, 2013
Earl Sweatshirt,Some Rap Songs,2018
Kendrick Lamar,To Pimp a Butterfly,2015
Kendrick Lamar,DAMN.,2017
Travis Scott,Astroworld,2018
The Weeknd,After Hours,2020
SZA,Ctrl,2017
